"","Year","Operational.Demand..MW.","Index"
"1",2018,3614.312,1
"2",2018,3593.346,2
"3",2018,3566.116,3
"4",2018,3556.93,4
"5",2018,3550.154,5
"6",2018,3547.228,6
"7",2018,3495.818,7
"8",2018,3460.232,8
"9",2018,3394.252,9
"10",2018,3384.404,10
"11",2018,3376.438,11
"12",2018,3365.866,12
"13",2018,3358.828,13
"14",2018,3303.71,14
"15",2018,3293.748,15
"16",2018,3284.428,16
"17",2018,3275.268,17
"18",2018,3268.208,18
"19",2018,3259.216,19
"20",2018,3259.118,20
"21",2018,3258.57,21
"22",2018,3257.334,22
"23",2018,3256.474,23
"24",2018,3256.362,24
"25",2018,3253.74,25
"26",2018,3251.012,26
"27",2018,3233.028,27
"28",2018,3231.196,28
"29",2018,3223.112,29
"30",2018,3222.712,30
"31",2018,3222.272,31
"32",2018,3214.286,32
"33",2018,3210.234,33
"34",2018,3207.676,34
"35",2018,3206.502,35
"36",2018,3202.462,36
"37",2018,3200.814,37
"38",2018,3195.262,38
"39",2018,3195.238,39
"40",2018,3193.292,40
"41",2018,3188.344,41
"42",2018,3187.838,42
"43",2018,3184.306,43
"44",2018,3181.752,44
"45",2018,3178.52,45
"46",2018,3175.49,46
"47",2018,3172.032,47
"48",2018,3164.484,48
"49",2018,3152.42,49
"50",2018,3149.898,50
"51",2018,3146.138,51
"52",2018,3143.418,52
"53",2018,3142.582,53
"54",2018,3141.914,54
"55",2018,3136.124,55
"56",2018,3133.152,56
"57",2018,3132.532,57
"58",2018,3131.558,58
"59",2018,3131.448,59
"60",2018,3130.318,60
"61",2018,3129.424,61
"62",2018,3127.068,62
"63",2018,3125.674,63
"64",2018,3125.006,64
"65",2018,3123.268,65
"66",2018,3123.224,66
"67",2018,3123.126,67
"68",2018,3122.754,68
"69",2018,3120.448,69
"70",2018,3120.296,70
"71",2018,3119.85,71
"72",2018,3116.47,72
"73",2018,3114.172,73
"74",2018,3113.474,74
"75",2018,3112.9,75
"76",2018,3105.868,76
"77",2018,3105.046,77
"78",2018,3100.51,78
"79",2018,3096.526,79
"80",2018,3095.288,80
"81",2018,3093.036,81
"82",2018,3090.524,82
"83",2018,3085.796,83
"84",2018,3085.76,84
"85",2018,3085.298,85
"86",2018,3082.154,86
"87",2018,3080.068,87
"88",2018,3079.974,88
"89",2018,3079.658,89
"90",2018,3078.724,90
"91",2018,3072.954,91
"92",2018,3071.71,92
"93",2018,3071.604,93
"94",2018,3070.352,94
"95",2018,3065.122,95
"96",2018,3062.526,96
"97",2018,3062.054,97
"98",2018,3061.222,98
"99",2018,3060.9,99
"100",2018,3060.098,100
"101",2018,3056.538,101
"102",2018,3053.56,102
"103",2018,3049.422,103
"104",2018,3047.236,104
"105",2018,3044.796,105
"106",2018,3043.85,106
"107",2018,3040.33,107
"108",2018,3039.9,108
"109",2018,3036.042,109
"110",2018,3031.6,110
"111",2018,3030,111
"112",2018,3029.46,112
"113",2018,3028.686,113
"114",2018,3027.96,114
"115",2018,3027.31,115
"116",2018,3025.906,116
"117",2018,3024.828,117
"118",2018,3024.474,118
"119",2018,3023.254,119
"120",2018,3022.934,120
"121",2018,3022.674,121
"122",2018,3021.642,122
"123",2018,3021.24,123
"124",2018,3020.692,124
"125",2018,3020.338,125
"126",2018,3019.098,126
"127",2018,3016.774,127
"128",2018,3015.568,128
"129",2018,3015.018,129
"130",2018,3014.342,130
"131",2018,3013.722,131
"132",2018,3013.7,132
"133",2018,3011.234,133
"134",2018,3010.646,134
"135",2018,3008.414,135
"136",2018,3005.292,136
"137",2018,3004.08,137
"138",2018,3003.82,138
"139",2018,3002.582,139
"140",2018,3000.726,140
"141",2018,3000.336,141
"142",2018,2998.192,142
"143",2018,2995.992,143
"144",2018,2995.608,144
"145",2018,2992.17,145
"146",2018,2992.06,146
"147",2018,2988.654,147
"148",2018,2988.382,148
"149",2018,2988.3,149
"150",2018,2987.592,150
"151",2018,2987.228,151
"152",2018,2986.926,152
"153",2018,2986.524,153
"154",2018,2985.596,154
"155",2018,2984.946,155
"156",2018,2984.928,156
"157",2018,2982.588,157
"158",2018,2982.104,158
"159",2018,2980.534,159
"160",2018,2978.192,160
"161",2018,2974.63,161
"162",2018,2973.914,162
"163",2018,2973.816,163
"164",2018,2973.494,164
"165",2018,2973.474,165
"166",2018,2972.898,166
"167",2018,2972.754,167
"168",2018,2972.744,168
"169",2018,2971.256,169
"170",2018,2970.802,170
"171",2018,2969.794,171
"172",2018,2969.738,172
"173",2018,2968.816,173
"174",2018,2967.806,174
"175",2018,2966.158,175
"176",2018,2965.168,176
"177",2018,2964.846,177
"178",2018,2964.622,178
"179",2018,2963.872,179
"180",2018,2963.744,180
"181",2018,2963.496,181
"182",2018,2961.824,182
"183",2018,2958.77,183
"184",2018,2958.064,184
"185",2018,2953.604,185
"186",2018,2952.962,186
"187",2018,2952.012,187
"188",2018,2951.694,188
"189",2018,2951.106,189
"190",2018,2950.536,190
"191",2018,2950.04,191
"192",2018,2949.28,192
"193",2018,2949.27,193
"194",2018,2949.09,194
"195",2018,2947.548,195
"196",2018,2947.164,196
"197",2018,2946.324,197
"198",2018,2945.686,198
"199",2018,2943.47,199
"200",2018,2943.406,200
"201",2018,2943.266,201
"202",2018,2942.178,202
"203",2018,2941.79,203
"204",2018,2940.212,204
"205",2018,2939.95,205
"206",2018,2939.62,206
"207",2018,2938.784,207
"208",2018,2938.596,208
"209",2018,2938.108,209
"210",2018,2938.062,210
"211",2018,2938.006,211
"212",2018,2937.032,212
"213",2018,2933.81,213
"214",2018,2932.82,214
"215",2018,2931.716,215
"216",2018,2931.686,216
"217",2018,2930.4,217
"218",2018,2929.986,218
"219",2018,2929.848,219
"220",2018,2928.764,220
"221",2018,2928.6,221
"222",2018,2927.902,222
"223",2018,2926.728,223
"224",2018,2926.55,224
"225",2018,2925.624,225
"226",2018,2925.468,226
"227",2018,2925.052,227
"228",2018,2924.278,228
"229",2018,2924.25,229
"230",2018,2923.954,230
"231",2018,2922.6,231
"232",2018,2921.99,232
"233",2018,2921.566,233
"234",2018,2921.464,234
"235",2018,2920.922,235
"236",2018,2920.524,236
"237",2018,2920.006,237
"238",2018,2918.724,238
"239",2018,2918.372,239
"240",2018,2917.762,240
"241",2018,2917.218,241
"242",2018,2916.144,242
"243",2018,2915.36,243
"244",2018,2915.06,244
"245",2018,2914.776,245
"246",2018,2914.35,246
"247",2018,2913.502,247
"248",2018,2913.258,248
"249",2018,2912.906,249
"250",2018,2912.77,250
"251",2018,2912.488,251
"252",2018,2911.238,252
"253",2018,2910.54,253
"254",2018,2909.158,254
"255",2018,2909.082,255
"256",2018,2908.282,256
"257",2018,2905.606,257
"258",2018,2903.882,258
"259",2018,2903.7,259
"260",2018,2903.658,260
"261",2018,2903.514,261
"262",2018,2903.142,262
"263",2018,2902.716,263
"264",2018,2901.964,264
"265",2018,2900.746,265
"266",2018,2900.454,266
"267",2018,2899.172,267
"268",2018,2898.82,268
"269",2018,2898.744,269
"270",2018,2897.462,270
"271",2018,2896.162,271
"272",2018,2895.592,272
"273",2018,2894.63,273
"274",2018,2894.384,274
"275",2018,2894.38,275
