DateTime,id,description,leftHandSideValue,operator,constraintType,rightHandSideValue,defaultRhs,bindingConstraintFlag,nearBindingConstraintFlag,shadowPrice,isInterventionEvent,variable,value
2023-09-29T08:00:00Z,SystemEnergyBalance,System Energy Balance,1822.39,EqualTo,Formulation,1822.39,0,TRUE,TRUE,305.03,FALSE,EnergyBalance_SlackDeficit,0
2023-09-29T08:00:00Z,SystemEnergyBalance,System Energy Balance,1822.39,EqualTo,Formulation,1822.39,0,TRUE,TRUE,305.03,FALSE,EnergyBalance_SlackEnergySurplus,0
2023-09-29T08:00:00Z,contingencyLower_Requirement,contingencyLower Requirement,63.81,GreaterThanOrEqualTo,Formulation,63.81,0,TRUE,TRUE,5400.57,FALSE,contingencyLower_SlackDeficit,0
2023-09-29T08:00:00Z,regulationLower_Requirement,regulationLower Requirement,110,GreaterThanOrEqualTo,Formulation,110,0,TRUE,TRUE,5505.43,FALSE,regulationLower_SlackDeficit,0
2023-09-29T08:00:00Z,regulationRaise_Requirement,regulationRaise Requirement,110,GreaterThanOrEqualTo,Formulation,110,0,TRUE,TRUE,5677.19,FALSE,regulationRaise_SlackDeficit,0
2023-09-29T08:00:00Z,RocofRequirementConstraint,Rocof Requirement Constraint,0,GreaterThanOrEqualTo,Formulation,0,0,TRUE,TRUE,8856,FALSE,Rocof_SlackDeficit,3123.8
2023-09-29T08:00:00Z,ContRaiseReq1800_15750_255,Contingency Raise Demand 1800 Inertia 15750 Contingency Level 255,0,GreaterThanOrEqualTo,Formulation,0,0,TRUE,TRUE,5904,FALSE,contRaise_deficit,51.268
2023-09-29T08:00:00Z,TrancheUBConstraint_ALCOA_WGP_energy_01,TrancheUB Constraint ALCOA_WGP energy 01,0,LessThanOrEqualTo,Formulation,0,0,TRUE,TRUE,-837630,FALSE,ALCOA_WGP_trslksurplus_energy_01,0
2023-09-29T08:00:00Z,TrancheLBConstraint_ALCOA_WGP_energy_01,TrancheLB Constraint ALCOA_WGP energy 01,0,GreaterThanOrEqualTo,Formulation,0,0,TRUE,TRUE,0,FALSE,ALCOA_WGP_trslkdeficit_energy_01,0
2023-09-29T08:00:00Z,RampUpConstraint_ALCOA_WGP,RampUp Constraint ALCOA_WGP,0,LessThanOrEqualTo,Formulation,91.3,0,FALSE,FALSE,0,FALSE,ALCOA_WGP_RampUpSurplus,0
2023-09-29T08:00:00Z,RampDownConstraint_ALCOA_WGP,RampDown Constraint ALCOA_WGP,0,GreaterThanOrEqualTo,Formulation,-88.7,0,FALSE,FALSE,0,FALSE,ALCOA_WGP_RampDownDeficit,0
2023-09-29T08:00:00Z,TrancheUBConstraint_AMBRISOLAR_PV1_energy_01,TrancheUB Constraint AMBRISOLAR_PV1 energy 01,0,LessThanOrEqualTo,Formulation,0.96,0,FALSE,TRUE,0,FALSE,AMBRISOLAR_PV1_trslksurplus_energy_01,0
2023-09-29T08:00:00Z,TrancheLBConstraint_AMBRISOLAR_PV1_energy_01,TrancheLB Constraint AMBRISOLAR_PV1 energy 01,0,GreaterThanOrEqualTo,Formulation,0,0,TRUE,TRUE,0,FALSE,AMBRISOLAR_PV1_trslkdeficit_energy_01,0
2023-09-29T08:00:00Z,NonScheduledFacility_Constraint_AMBRISOLAR_PV1,NonScheduledFacility_Constraint_AMBRISOLAR_PV1,0,EqualTo,Formulation,0,0,TRUE,TRUE,-867150,FALSE,AMBRISOLAR_PV1_NsfSurplus_SlackVariable,0
2023-09-29T08:00:00Z,NonScheduledFacility_Constraint_AMBRISOLAR_PV1,NonScheduledFacility_Constraint_AMBRISOLAR_PV1,0,EqualTo,Formulation,0,0,TRUE,TRUE,-867150,FALSE,AMBRISOLAR_PV1_NsfDeficit_SlackVariable,0
2023-09-29T08:00:00Z,RampUpConstraint_AMBRISOLAR_PV1,RampUp Constraint AMBRISOLAR_PV1,0,LessThanOrEqualTo,Formulation,5.384,0,FALSE,TRUE,0,FALSE,AMBRISOLAR_PV1_RampUpSurplus,0
2023-09-29T08:00:00Z,RampDownConstraint_AMBRISOLAR_PV1,RampDown Constraint AMBRISOLAR_PV1,0,GreaterThanOrEqualTo,Formulation,-4.216,0,FALSE,TRUE,0,FALSE,AMBRISOLAR_PV1_RampDownDeficit,0
