DateTime,energyInjectionCapacity,energyWithdrawalCapacity,contingencyRaise,contingencyLower,regulationRaise,regulationLower,rocof
2023-09-29T08:00:00Z,1822.39,0,87.6,63.81,110,110,8443.2
2023-09-29T08:00:00Z,1669.931,0,227.43,72.803,110,110,16807.033
2023-09-29T08:00:00Z,1532.293,0,209.266,78.6,110,110,10558.492
2023-09-29T08:00:00Z,1378.923,0,186.738,84.945,110,110,16808.492
2023-09-29T08:00:00Z,1261.148,0,191.465,89.049,109.999,110,16814.763
2023-09-29T08:00:00Z,1165.355,0,124.517,92.387,110.001,110,16812.454
2023-09-29T08:00:00Z,1100.291,0,124.517,93,110.001,110,16807.017
2023-09-29T08:00:00Z,1029.593,0,137.244,93,109.999,110,16814.451
2023-09-29T08:00:00Z,946.536,0,124.517,92,110.001,110,16816.981
2023-09-29T08:00:00Z,938.605,0,119.444,92,110.001,110,16555.783
2023-09-29T08:00:00Z,954.708,0,119.444,93,110.001,110,16551.898
2023-09-29T08:00:00Z,1007.247,0,119.656,92,110.001,110,16300.153
2023-09-29T08:00:00Z,1079.995,0,119.105,91,110.001,110,16788.87
2023-09-29T08:00:00Z,1209.025,0,124.326,86.865,110,110,16793.547
2023-09-29T08:00:00Z,1373.938,0,124.479,82.118,110,110,16560.459
2023-09-29T08:00:00Z,1574.348,0,113.318,78.134,110,110,16812.161
2023-09-29T08:00:00Z,1789.836,0,146.745,71.624,110,110,18054.386
2023-09-29T08:00:00Z,1999.605,0,159.802,65.314,110,110,19304.837
2023-09-29T08:00:00Z,2163.208,0,232.823,60.612,110.001,110,20304.838
2023-09-29T08:00:00Z,2285.864,0,256.692,57.338,110,110,21065.897
2023-09-29T08:00:00Z,2362.866,0,256.105,56.654,110,110,21067.208
2023-09-29T08:00:00Z,2353.408,0,243.422,54.984,110,110,21067.208
2023-09-29T08:00:00Z,2295.587,0,237.858,56,109.999,110,21071.704
2023-09-29T08:00:00Z,2240.47,0,244.09,55.92,110,110,21071.704
2023-09-29T08:00:00Z,2182.062,0,254.772,55.955,109.999,110,20319.025
2023-09-29T08:00:00Z,2136.431,0,270.83,56.546,64.999,65,20304.213
2023-09-29T08:00:00Z,2082.87,0,285.207,59.412,65,65,20306.344
2023-09-29T08:00:00Z,2020.437,0,283.102,62.588,65,65,20307.217
2023-09-29T08:00:00Z,1950.613,0,298.195,65.021,64.999,65,19307.221
2023-09-29T08:00:00Z,1886.361,0,256.894,67.26,64.999,65,19312.92
2023-09-29T08:00:00Z,1828.68,0,231.351,69.271,65,65,19305.878
2023-09-29T08:00:00Z,1775.123,0,247.085,71.137,65.001,65,18055.878
2023-09-29T08:00:00Z,1721.705,0,268.227,71.999,64.999,65,18055.683
2023-09-29T08:00:00Z,1691.686,0,247.116,73.045,64.999,65,18055.683
2023-09-29T08:00:00Z,1672.219,0,247.116,74.723,64.999,65,18051.89
2023-09-29T08:00:00Z,1659.608,0,247.177,74.163,65.001,65,18051.89
2023-09-29T08:00:00Z,1650.865,0,247.239,73.467,65,65,18050.291
2023-09-29T08:00:00Z,1645.909,0,247.239,71.64,65.001,65,18050.291
2023-09-29T08:00:00Z,1643.538,0,247.27,72.723,65.001,65,18049.905
2023-09-29T08:00:00Z,1650.646,0,247.332,75.475,65,65,18049.905
2023-09-29T08:00:00Z,1668.437,0,247.394,76.855,65.001,65,18043.361
2023-09-29T08:00:00Z,1693.023,0,249.608,76.998,64.999,65,18043.361
2023-09-29T08:00:00Z,1724.803,0,303.029,75.891,65.002,65,17814.496
2023-09-29T08:00:00Z,1753.076,0,285.939,75.905,109.999,110.001,18064.495
2023-09-29T08:00:00Z,1725.343,0,262.399,78.872,110.001,110,18063.727
2023-09-29T08:00:00Z,1639.602,0,234.98,79.86,110,110,18053.162
2023-09-29T08:00:00Z,1546.314,0,193.159,82.112,109.999,110,16803.163
2023-09-29T08:00:00Z,1424.031,0,202.018,84.373,110.001,110,16804.818
2023-09-29T08:00:00Z,1276.811,0,168.86,87.504,110,110,16804.818
2023-09-29T08:00:00Z,1131.012,0,146.185,65.235,110,110,16811.109
2023-09-29T08:00:00Z,1036.861,0,146.131,48.139,110,110,16782.632
2023-09-29T08:00:00Z,988.214,0,147.125,10,109.998,99.432,16303.02
2023-09-29T08:00:00Z,940.59,0,125.714,10,110.002,51.808,16806.219
2023-09-29T08:00:00Z,888.782,0,273.043,10,109.999,0,11317.131
2023-09-29T08:00:00Z,888.782,0,141.876,10,109.999,0,10818
2023-09-29T08:00:00Z,888.782,0,125.742,10,109.999,0,16819.816
2023-09-29T08:00:00Z,888.782,0,125.754,10,109.998,0,16818.234
2023-09-29T08:00:00Z,888.782,0,286.518,10,109.999,0,11059.929
2023-09-29T08:00:00Z,888.782,0,125.734,10,110,0,16809.928
2023-09-29T08:00:00Z,892.661,0,125.723,10,109.999,3.879,16798.99
2023-09-29T08:00:00Z,975.604,0,131.814,10,110.002,86.822,16800.447
2023-09-29T08:00:00Z,1050.792,0,146.074,62.34,109.999,110,16804.238
2023-09-29T08:00:00Z,1175.878,0,142.204,89.022,110,110,16813.111
2023-09-29T08:00:00Z,1371.501,0,143.251,85.204,109.998,110,16819.01
2023-09-29T08:00:00Z,1590.609,0,202.526,78.568,110.002,110,16808.358
2023-09-29T08:00:00Z,1802.191,0,187.217,72.194,110.002,110,19058.351
2023-09-29T08:00:00Z,1987.511,0,271.532,66.735,109.999,110,19310.021
2023-09-29T08:00:00Z,2142.239,0,241.075,62.343,110.001,109.999,20327.463
2023-09-29T08:00:00Z,2221.756,0,225.136,61.572,110,109.999,21077.467
2023-09-29T08:00:00Z,2216.335,0,236.155,59.761,110.001,109.999,21060.483
2023-09-29T08:00:00Z,2173.061,0,252.222,60.269,110,110,20305.881
2023-09-29T08:00:00Z,2125.006,0,252.222,59.944,110.001,110,20305.881
2023-09-29T08:00:00Z,2071.614,0,241.075,59.803,110,110,20292.091
2023-09-29T08:00:00Z,2035.548,0,241.075,60.061,65,65,20307.917
2023-09-29T08:00:00Z,1993.262,0,256.313,62.536,65.001,65,19293.227
2023-09-29T08:00:00Z,1936.828,0,265.394,65.502,65,65,19293.227
2023-09-29T08:00:00Z,1872.865,0,282.103,67.731,65,65,19287.31
2023-09-29T08:00:00Z,1820.069,0,295.993,69.571,64.999,65.001,19287.31
2023-09-29T08:00:00Z,1773.864,0,309.145,71.181,65.001,65.001,18056.596
2023-09-29T08:00:00Z,1735.352,0,308.703,72.523,65,65.001,18058.182
2023-09-29T08:00:00Z,1705.246,0,304.478,72.572,65,65,18045.024
2023-09-29T08:00:00Z,1680.872,0,298.36,73.422,65,65,18048.554
2023-09-29T08:00:00Z,1662.406,0,277.174,75.065,65.001,65,18062.968
2023-09-29T08:00:00Z,1648.981,0,260.681,74.533,65,65,18062.38
2023-09-29T08:00:00Z,1639.271,0,250.722,73.871,65.001,65,17561.957
2023-09-29T08:00:00Z,1633.794,0,234.914,72.062,65.001,65,18089.146
2023-09-29T08:00:00Z,1634.186,0,250.136,73.049,65.001,65,17825.22
