"","Location","Calendar.Year","Calendar.Month","Calendar.Day","Trading.Interval","AirTemperature"
"1","Perth",2018,1,1,2018-01-01,23.2666666666667
"2","Perth",2018,1,1,2018-01-01 00:30:00,24.5333333333333
"3","Perth",2018,1,1,2018-01-01 01:00:00,25.8
"4","Perth",2018,1,1,2018-01-01 01:30:00,26.9
"5","Perth",2018,1,1,2018-01-01 02:00:00,28
"6","Perth",2018,1,1,2018-01-01 02:30:00,29.1
"7","Perth",2018,1,1,2018-01-01 03:00:00,30.2
"8","Perth",2018,1,1,2018-01-01 03:30:00,31.05
"9","Perth",2018,1,1,2018-01-01 04:00:00,31.9
"10","Perth",2018,1,1,2018-01-01 04:30:00,32.7
"11","Perth",2018,1,1,2018-01-01 05:00:00,33.5
"12","Perth",2018,1,1,2018-01-01 05:30:00,32.8166666666667
"13","Perth",2018,1,1,2018-01-01 06:00:00,32.1333333333333
"14","Perth",2018,1,1,2018-01-01 06:30:00,32.0666666666667
"15","Perth",2018,1,1,2018-01-01 07:00:00,32
"16","Perth",2018,1,1,2018-01-01 07:30:00,31.25
"17","Perth",2018,1,1,2018-01-01 08:00:00,30.5
"18","Perth",2018,1,1,2018-01-01 08:30:00,30.3
"19","Perth",2018,1,1,2018-01-01 09:00:00,30.1
"20","Perth",2018,1,1,2018-01-01 09:30:00,29.35
"21","Perth",2018,1,1,2018-01-01 10:00:00,28.6
"22","Perth",2018,1,1,2018-01-01 10:30:00,27.55
"23","Perth",2018,1,1,2018-01-01 11:00:00,26.5
"24","Perth",2018,1,1,2018-01-01 11:30:00,25.5833333333333
"25","Perth",2018,1,1,2018-01-01 12:00:00,24.6666666666667
"26","Perth",2018,1,1,2018-01-01 12:30:00,24.3833333333333
"27","Perth",2018,1,1,2018-01-01 13:00:00,24.1
"28","Perth",2018,1,1,2018-01-01 13:30:00,23.8
"29","Perth",2018,1,1,2018-01-01 14:00:00,23.5
"30","Perth",2018,1,1,2018-01-01 14:30:00,22.7166666666667
"31","Perth",2018,1,1,2018-01-01 15:00:00,21.9333333333333
"32","Perth",2018,1,1,2018-01-01 15:30:00,20.3333333333333
"33","Perth",2018,1,1,2018-01-01 16:00:00,18.7333333333333
"34","Perth",2018,1,1,2018-01-01 16:30:00,20.3666666666667
"35","Perth",2018,1,1,2018-01-01 17:00:00,22
"36","Perth",2018,1,1,2018-01-01 17:30:00,22.5
"37","Perth",2018,1,1,2018-01-01 18:00:00,23
"38","Perth",2018,1,1,2018-01-01 18:30:00,22.5
"39","Perth",2018,1,1,2018-01-01 19:00:00,22
"40","Perth",2018,1,1,2018-01-01 19:30:00,21.5
"41","Perth",2018,1,1,2018-01-01 20:00:00,21
"42","Perth",2018,1,1,2018-01-01 20:30:00,20.5666666666667
"43","Perth",2018,1,1,2018-01-01 21:00:00,20.1333333333333
"44","Perth",2018,1,1,2018-01-01 21:30:00,20.5
"45","Perth",2018,1,1,2018-01-01 22:00:00,20.8666666666667
"46","Perth",2018,1,1,2018-01-01 22:30:00,21.6833333333333
"47","Perth",2018,1,1,2018-01-01 23:00:00,22.5
"48","Perth",2018,1,1,2018-01-01 23:30:00,23.5833333333333
"49","Perth",2018,1,2,2018-01-02,24.6666666666667
"50","Perth",2018,1,2,2018-01-02 00:30:00,26.35
"51","Perth",2018,1,2,2018-01-02 01:00:00,28.0333333333333
"52","Perth",2018,1,2,2018-01-02 01:30:00,29.5166666666667
"53","Perth",2018,1,2,2018-01-02 02:00:00,31
"54","Perth",2018,1,2,2018-01-02 02:30:00,32.15
"55","Perth",2018,1,2,2018-01-02 03:00:00,33.3
"56","Perth",2018,1,2,2018-01-02 03:30:00,34.25
"57","Perth",2018,1,2,2018-01-02 04:00:00,35.2
"58","Perth",2018,1,2,2018-01-02 04:30:00,36.1
